lg,name,screen_name,user_id,followers_count,created_at
ered,Go Ahead Eagles 🦅,GAEagles,329549462,28649,2011-07-05T08:01:24Z
seriea,Spezia Calcio,acspezia,134578975,27749,2010-04-18T21:10:24Z
seriea,FC Crotone,FcCrotoneOff,2754914498,25818,2014-08-22T13:11:22Z
ered,FC Dordrecht,fcdordrechtnl,178415660,24941,2010-08-14T18:12:21Z
seriea,Benevento Calcio,bncalcio,812265993196146688,24394,2016-12-23T11:57:58Z
ered,Excelsior Rotterdam,excelsiorrdam,123208921,23320,2010-03-15T10:26:02Z
ered,Almere City FC,AlmereCityFC,317755618,20691,2011-06-15T12:38:42Z
ered,TOP Oss,topossofficial,108619791,19733,2010-01-26T14:32:28Z
ered,Helmond Sport,HelmondSport,256909610,15606,2011-02-24T09:38:09Z
ered,MVV Maastricht,mvvmaastricht,61179054,14992,2009-07-29T12:08:56Z
ered,Witte Leeuwen,telstar1963nv,238115717,14517,2011-01-14T11:57:24Z
ered,FC Eindhoven,FCEindhoven,176504945,13077,2010-08-09T18:32:19Z
ered,FC Den Bosch,mijnfcdenbosch,861381758,12727,2012-10-04T13:17:10Z
ered,FC Volendam 🔶,fcvolendam,78560580,10761,2009-09-30T09:40:42Z
bund,EF Leistungszentrum,eintracht_lz,120129624,3682,2010-03-05T15:09:52Z
