player_id,foot,country,tier,gender,season_end_year,player,url
088ae0d1,left,POR,1st,M,2022,Rodrigo Abascal,https://fbref.com//en/players/088ae0d1/Rodrigo-Abascal
b5691f5d,left,MEX,1st,M,2022,Rodrigo Aguirre,https://fbref.com//en/players/b5691f5d/Rodrigo-Aguirre
b5691f5d,left,MEX,1st,M,2021,Rodrigo Aguirre,https://fbref.com//en/players/b5691f5d/Rodrigo-Aguirre
4c1b67d6,right,BRA,1st,M,2022,Rodrigo Alves Soares,https://fbref.com//en/players/4c1b67d6/Rodrigo-Alves-Soares
4c1b67d6,right,POR,1st,M,2019,Rodrigo Alves Soares,https://fbref.com//en/players/4c1b67d6/Rodrigo-Alves-Soares
d637fc22,right,ESP,1st,M,2022,Rodrigo Battaglia,https://fbref.com//en/players/d637fc22/Rodrigo-Battaglia
d637fc22,right,ESP,1st,M,2021,Rodrigo Battaglia,https://fbref.com//en/players/d637fc22/Rodrigo-Battaglia
d637fc22,right,POR,1st,M,2020,Rodrigo Battaglia,https://fbref.com//en/players/d637fc22/Rodrigo-Battaglia
d637fc22,right,POR,1st,M,2019,Rodrigo Battaglia,https://fbref.com//en/players/d637fc22/Rodrigo-Battaglia
19e4eab9,right,ITA,1st,M,2022,Rodrigo Becão,https://fbref.com//en/players/19e4eab9/Rodrigo-Becao
19e4eab9,right,ITA,1st,M,2021,Rodrigo Becão,https://fbref.com//en/players/19e4eab9/Rodrigo-Becao
19e4eab9,right,ITA,1st,M,2020,Rodrigo Becão,https://fbref.com//en/players/19e4eab9/Rodrigo-Becao
3b8674e6,right,ENG,1st,M,2022,Rodrigo Bentancur,https://fbref.com//en/players/3b8674e6/Rodrigo-Bentancur
3b8674e6,right,ENG,1st,M,2021,Rodrigo Bentancur,https://fbref.com//en/players/3b8674e6/Rodrigo-Bentancur
3b8674e6,right,ITA,1st,M,2022,Rodrigo Bentancur,https://fbref.com//en/players/3b8674e6/Rodrigo-Bentancur
3b8674e6,right,ITA,1st,M,2021,Rodrigo Bentancur,https://fbref.com//en/players/3b8674e6/Rodrigo-Bentancur
3b8674e6,right,ITA,1st,M,2020,Rodrigo Bentancur,https://fbref.com//en/players/3b8674e6/Rodrigo-Bentancur
3b8674e6,right,ITA,1st,M,2019,Rodrigo Bentancur,https://fbref.com//en/players/3b8674e6/Rodrigo-Bentancur
3b8674e6,right,ITA,1st,M,2018,Rodrigo Bentancur,https://fbref.com//en/players/3b8674e6/Rodrigo-Bentancur
186ed8f1,right,BRA,1st,M,2022,Rodrigo Caio,https://fbref.com//en/players/186ed8f1/Rodrigo-Caio
186ed8f1,right,BRA,1st,M,2021,Rodrigo Caio,https://fbref.com//en/players/186ed8f1/Rodrigo-Caio
186ed8f1,right,BRA,1st,M,2020,Rodrigo Caio,https://fbref.com//en/players/186ed8f1/Rodrigo-Caio
186ed8f1,right,BRA,1st,M,2019,Rodrigo Caio,https://fbref.com//en/players/186ed8f1/Rodrigo-Caio
162efffd,right,ESP,1st,M,2022,Rodrigo De Paul,https://fbref.com//en/players/162efffd/Rodrigo-De-Paul
162efffd,right,ITA,1st,M,2021,Rodrigo De Paul,https://fbref.com//en/players/162efffd/Rodrigo-De-Paul
162efffd,right,ITA,1st,M,2020,Rodrigo De Paul,https://fbref.com//en/players/162efffd/Rodrigo-De-Paul
162efffd,right,ITA,1st,M,2019,Rodrigo De Paul,https://fbref.com//en/players/162efffd/Rodrigo-De-Paul
