season_id,player_name,team_name,pos_grp,pos_11,minutes_played,euro,ovaep_orig,dvaep_orig,vaep_orig,ovaep_atomic,dvaep_atomic,vaep_atomic,davies,x_goals_added
2020,Martin Odegaard,Arsenal,F,FWC,977,40000000,1.919479683758691,0.1038771744351834,2.0233568581938743,3.1400087103870464,0.38752804190153256,3.527536752288579,-2.21,1.41
2020,John Lundstram,Sheff Utd,M,MC,2243,7000000,-0.39041833375047136,0.10795178054831922,-0.28246655320215214,1.2858102684189594,2.2278865003754618,3.5136967687944214,-1.07,2.06
2020,Robbie Brady,Burnley,M,MR,1119,3000000,1.3857443910576404,-0.07169548043748364,1.3140489106201567,2.6319104537590174,0.8570801197056426,3.48899057346466,-1.53,1.6
2020,Rhian Brewster,Sheff Utd,F,FWC,1234,12000000,-1.059632397373207,0.16586992819793522,-0.8937624691752717,2.9996141227311455,0.466597446880769,3.4662115696119145,-1.43,1.56
2020,Michy Batshuayi,Crystal Palace,F,FWC,793,10000000,1.6721442855196074,-0.19049341493519023,1.4816508705844171,3.275526068857289,0.1897704039583914,3.4652964728156803,-1.63,1.95
2020,Takumi Minamino,Southampton,M,ML,751,12000000,1.2685447757830843,-0.047686929698102176,1.2208578460849822,3.0639278950402513,0.3917878429783741,3.4557157380186254,-4.84,1.3399999999999999
2020,Kean Bryan,Sheff Utd,D,DC,1064,2000000,1.1755988398799673,-1.046839299844578,0.12875954003538936,1.8857075853738934,1.547102721844567,3.4328103072184604,-1.52,1.5
2020,Sander Berge,Sheff Utd,M,MC,1203,18000000,0.523943059345454,0.41868205496575683,0.9426251143112109,2.2488593528786236,1.1838602698844625,3.432719622763086,-1.27,1.86
2020,Davinson Sanchez,Tottenham,D,DC,1603,35000000,1.5695452042273246,-2.296302356000524,-0.7267571517731994,2.19087668582506,1.2294424866122426,3.4203191724373028,-0.5,1.98
2020,Daniel Amartey,Leicester,D,DC,845,5000000,1.4686188568011858,0.35171759087825194,1.8203364476794377,1.5109436730854213,1.8619853347336175,3.372929007819039,-2.06,0.96
2020,Willian Jose,Wolves,F,FWC,1177,20000000,-1.1078054785029963,-0.05820251192199066,-1.166007990424987,2.783026236895239,0.5591981109755579,3.342224347870797,-1.88,1.71
2020,Rayan Ait-Nouri,Wolves,D,DL,1509,20000000,2.4058815906527453,-0.9256732071517035,1.4802083835010418,2.5860992534789258,0.7492309408116853,3.335330194290611,-0.4,2.34
2020,Andy Carroll,Newcastle,F,FWC,457,2000000,-0.06886281433980912,-0.23855541873490438,-0.3074182330747135,3.0570081434270833,0.24879677311400883,3.305804916541092,-3.02,0.8
2020,Aaron Connolly,Brighton,F,FWC,864,7000000,-0.5920512165175751,-0.09703390958020464,-0.6890851260977797,3.199977845288231,0.10536616083118133,3.3053440061194124,-0.7,2.29
2020,Luke Thomas,Leicester,D,DL,1090,3000000,1.658737308520358,-0.277619018801488,1.38111828971887,2.2904705062828725,1.0002034555654973,3.29067396184837,-1.42,1.32
2020,Robin Koch,Leeds,D,DC,1223,17000000,1.1397091698017903,-0.6719621579977684,0.4677470118040219,1.8636972021777183,1.3736860235658241,3.2373832257435424,-0.91,2.11
2020,Moussa Djenepo,Southampton,M,ML,1347,13000000,0.7283888716483489,-0.7050588682177477,0.02333000343060121,2.656704291002825,0.513550392803154,3.170254683805979,-0.63,2.36
