player_name,team_name,position,mins_played,matches,aerials_won,aerials_lost
"William Troost-Ekong<span class=""ui-icon country flg-ng""></span>","Watford, ",",  D(C)  ",1388	,47	,24	,23	
"Dele Alli<span class=""ui-icon country flg-gb-eng""></span>","Everton, ",",  M(CL),FW  ",332	,17	,9	,8	
"Samuel Kalu<span class=""ui-icon country flg-ng""></span>","Watford, ",",  M(LR)  ",222	,3	,-	,3	
"Nathan Tella<span class=""ui-icon country flg-""></span>","Southampton, ",",  AM(LR),FW  ",811	,24	,6	,18	
"Steven Bergwijn<span class=""ui-icon country flg-nl""></span>","Tottenham, ",",  AM(CLR),FW  ",551	,9	,4	,5	
"Willy Caballero<span class=""ui-icon country flg-ar""></span>","Southampton, ",",  GK  ",180	,1	,-	,1	
"Ciaran Clark<span class=""ui-icon country flg-ie""></span>","Newcastle, ",",  D(CL)  ",1015	,41	,26	,15	
"Jesse Lingard<span class=""ui-icon country flg-gb-eng""></span>","Manchester United, ",",  AM(CLR),FW  ",356	,1	,-	,1	
"Lukas Rupp<span class=""ui-icon country flg-de""></span>","Norwich, ",",  M(CR)  ",764	,15	,5	,10	
"Todd Cantwell<span class=""ui-icon country flg-gb-eng""></span>","Norwich, ",",  AM(CLR)  ",441	,7	,3	,4	
"Crysencio Summerville<span class=""ui-icon country flg-nl""></span>","Leeds, ",",  AM(R)  ",126	,6	,-	,6	
"Mark Noble<span class=""ui-icon country flg-gb-eng""></span>","West Ham, ",",  M(C)  ",327	,2	,1	,1	
"Kevin Long<span class=""ui-icon country flg-ie""></span>","Burnley, ",",  D(C)  ",408	,20	,13	,7	
"Kieran Dowell<span class=""ui-icon country flg-gb-eng""></span>","Norwich, ",",  AM(CLR)  ",913	,37	,8	,29	
"Nikola Vlasic<span class=""ui-icon country flg-hr""></span>","West Ham, ",",  AM(CLR),FW  ",555	,12	,5	,7	
"Karl Darlow<span class=""ui-icon country flg-gb-eng""></span>","Newcastle, ",",  GK  ",720	,2	,2	,-	
"Tom Davies<span class=""ui-icon country flg-gb-eng""></span>","Everton, ",",  M(C)  ",233	,5	,3	,2	
"Ellis Simms<span class=""ui-icon country flg-gb-eng""></span>","Everton, ",",  FW  ",62	,6	,2	,4	
"Carney Chukwuemeka<span class=""ui-icon country flg-gb-eng""></span>","Aston Villa, ",",  Midfielder  ",295	,16	,7	,9	
"Dane Scarlett<span class=""ui-icon country flg-gb-eng""></span>","Tottenham, ",",  Forward  ",3	,-	,-	,-	
"Przemyslaw Placheta<span class=""ui-icon country flg-pl""></span>","Norwich, ",",  AM(LR)  ",506	,9	,1	,8	
"William Smallbone<span class=""ui-icon country flg-gb-eng""></span>","Southampton, ",",  M(R)  ",134	,4	,1	,3	
"Ashley Barnes<span class=""ui-icon country flg-gb-eng""></span>","Burnley, ",",  AM(CL),FW  ",803	,115	,50	,65	
"Troy Deeney<span class=""ui-icon country flg-gb-eng""></span>","Watford, ",",  FW  ",23	,9	,6	,3	
"Charlie Cresswell<span class=""ui-icon country flg-""></span>","Leeds, ",",  Defender  ",131	,9	,6	,3	
"Salomón Rondón<span class=""ui-icon country flg-ve""></span>","Everton, ",",  FW  ",783	,94	,38	,56	
"Moussa Djenepo<span class=""ui-icon country flg-ml""></span>","Southampton, ",",  AM(LR)  ",455	,11	,2	,9	
"Axel Tuanzebe<span class=""ui-icon country flg-gb-eng""></span>","Aston Villa, ",",  D(CR)  ",506	,25	,13	,12	
"André Gomes<span class=""ui-icon country flg-pt""></span>","Everton, ",",  M(CLR)  ",619	,17	,8	,9	
"Harrison Ashby<span class=""ui-icon country flg-""></span>","West Ham, ",",  Defender  ",6	,-	,-	,-	
"Jonathan Rowe<span class=""ui-icon country flg-gb-eng""></span>","Norwich, ",",  Forward  ",211	,9	,1	,8	
"Dale Stephens<span class=""ui-icon country flg-gb-eng""></span>","Burnley, ",",  M(C)  ",123	,2	,-	,2	
"Ryan Fredericks<span class=""ui-icon country flg-gb-eng""></span>","West Ham, ",",  D(R),M(R)  ",304	,5	,3	,2	
"Jarrad Branthwaite<span class=""ui-icon country flg-gb-eng""></span>","Everton, ",",  D(C)  ",388	,16	,11	,5	
"Marcus Forss<span class=""ui-icon country flg-fi""></span>","Brentford, ",",  FW  ",203	,9	,2	,7	
"Andriy Yarmolenko<span class=""ui-icon country flg-ua""></span>","West Ham, ",",  AM(CR),FW  ",304	,13	,5	,8	
"Bryan Gil<span class=""ui-icon country flg-es""></span>","Tottenham, ",",  AM(CLR)  ",86	,1	,-	,1	
"Jesurun Rak-Sakyi<span class=""ui-icon country flg-""></span>","Crystal Palace, ",",  Midfielder  ",81	,1	,-	,1	
"Robin Olsen<span class=""ui-icon country flg-se""></span>","Aston Villa, ",",  GK  ",90	,-	,-	,-	
"Josh Dasilva<span class=""ui-icon country flg-gb-eng""></span>","Brentford, ",",  M(C)  ",252	,4	,3	,1	
"Taylor Richards<span class=""ui-icon country flg-""></span>","Brighton, ",",  AM(C)  ",23	,1	,1	,-	
"Chem Campbell<span class=""ui-icon country flg-gb-wls""></span>","Wolverhampton, ",",  Forward  ",12	,1	,-	,1	
"James McAtee<span class=""ui-icon country flg-gb-eng""></span>","Manchester City, ",",  Midfielder  ",19	,1	,1	,-	
"Calum Chambers<span class=""ui-icon country flg-gb-eng""></span>","Arsenal, ",",  D(CR),DMC  ",171	,3	,2	,1	
"Tyler Morton<span class=""ui-icon country flg-gb-eng""></span>","Liverpool, ",",  M(C)  ",66	,5	,2	,3	
"Jairo Riedewald<span class=""ui-icon country flg-nl""></span>","Crystal Palace, ",",  D(CL),DMC  ",117	,2	,-	,2	
"Lewis Brunt<span class=""ui-icon country flg-gb-eng""></span>","Leicester, ",",  Midfielder  ",23	,1	,-	,1	
"Ryan Bertrand<span class=""ui-icon country flg-gb-eng""></span>","Leicester, ",",  D(CL),M(L)  ",338	,9	,1	,8	
"Aaron Connolly<span class=""ui-icon country flg-ie""></span>","Brighton, ",",  FW  ",155	,7	,2	,5	
"Joe Rodon<span class=""ui-icon country flg-gb-wls""></span>","Tottenham, ",",  D(C)  ",87	,4	,2	,2	
"Christoph Zimmermann<span class=""ui-icon country flg-de""></span>","Norwich, ",",  D(C)  ",158	,2	,2	,-	
"Kayky<span class=""ui-icon country flg-""></span>","Manchester City, ",",  Forward  ",6	,-	,-	,-	
"Theo Walcott<span class=""ui-icon country flg-gb-eng""></span>","Southampton, ",",  M(CLR),FW  ",381	,8	,4	,4	
"Fábio Silva<span class=""ui-icon country flg-""></span>","Wolverhampton, ",",  FW  ",565	,37	,9	,28	
"Kaide Gordon<span class=""ui-icon country flg-gb-eng""></span>","Liverpool, ",",  Forward  ",8	,1	,-	,1	
"Sonny Perkins<span class=""ui-icon country flg-gb-eng""></span>","West Ham, ",",  Midfielder  ",3	,1	,1	,-	
"Jean-Philippe Gbamin<span class=""ui-icon country flg-ci""></span>","Everton, ",",  D(CR),DMC  ",67	,1	,1	,-	
"Christos Tzolis<span class=""ui-icon country flg-gr""></span>","Norwich, ",",  AM(L)  ",330	,14	,3	,11	
"Mads Bidstrup<span class=""ui-icon country flg-dk""></span>","Brentford, ",",  Midfielder  ",38	,-	,-	,-	
"Ozan Tufan<span class=""ui-icon country flg-tr""></span>","Watford, ",",  D(R),M(CR)  ",338	,12	,3	,9	
"Ashley Fletcher<span class=""ui-icon country flg-gb-eng""></span>","Watford, ",",  AM(CL),FW  ",28	,8	,1	,7	
"Bali Mumba<span class=""ui-icon country flg-gb-eng""></span>","Norwich, ",",  M(R)  ",45	,1	,-	,1	
"Shola Shoretire<span class=""ui-icon country flg-gb-eng""></span>","Manchester United, ",",  Forward  ",16	,-	,-	,-	
"Anwar El Ghazi<span class=""ui-icon country flg-nl""></span>","Everton, ",",  AM(LR),FW  ",11	,3	,-	,3	
"Jürgen Locadia<span class=""ui-icon country flg-nl""></span>","Brighton, ",",  AM(LR),FW  ",22	,-	,-	,-	
"Reiss Nelson<span class=""ui-icon country flg-gb-eng""></span>","Arsenal, ",",  M(LR)  ",19	,-	,-	,-	
"Cody Drameh<span class=""ui-icon country flg-""></span>","Leeds, ",",  D(R)  ",126	,2	,1	,1	
"Emerson<span class=""ui-icon country flg-it""></span>","Chelsea, ",",  D(L),M(L)  ",4	,-	,-	,-	
"Trézéguet<span class=""ui-icon country flg-eg""></span>","Aston Villa, ",",  AM(LR)  ",10	,-	,-	,-	
"Dwight Gayle<span class=""ui-icon country flg-gb-eng""></span>","Newcastle, ",",  AM(LR),FW  ",34	,2	,1	,1	
"Tyler Onyango<span class=""ui-icon country flg-""></span>","Everton, ",",  Midfielder  ",27	,3	,1	,2	
"Cameron Archer<span class=""ui-icon country flg-gb-eng""></span>","Aston Villa, ",",  FW  ",24	,2	,1	,1	
"Kasey McAteer<span class=""ui-icon country flg-gb-eng""></span>","Leicester, ",",  Midfielder  ",2	,-	,-	,-	
"Dominic Thompson<span class=""ui-icon country flg-gb-eng""></span>","Brentford, ",",  D(L),M(L)  ",148	,3	,1	,2	
"Jeremy Sarmiento<span class=""ui-icon country flg-ec""></span>","Brighton, ",",  Forward  ",45	,3	,1	,2	
"Alex Král<span class=""ui-icon country flg-cz""></span>","West Ham, ",",  DMC  ",1	,2	,1	,1	
"Daniel Chesters<span class=""ui-icon country flg-gb-eng""></span>","West Ham, ",",  Midfielder  ",1	,-	,-	,-	
"Hélder Costa<span class=""ui-icon country flg-pt""></span>","Leeds, ",",  AM(CLR)  ",20	,1	,-	,1	
"Moise Kean<span class=""ui-icon country flg-it""></span>","Everton, ",",  AM(L),FW  ",1	,-	,-	,-	
"Nohan Kenneh<span class=""ui-icon country flg-""></span>","Leeds, ",",  Midfielder  ",1	,-	,-	,-	
"Wesley Moraes<span class=""ui-icon country flg-br""></span>","Aston Villa, ",",  FW  ",1	,3	,1	,2	
"Stuart McKinstry<span class=""ui-icon country flg-gb-sct""></span>","Leeds, ",",  Midfielder  ",3	,-	,-	,-	
"Lewis Dobbin<span class=""ui-icon country flg-""></span>","Everton, ",",  Forward  ",30	,6	,-	,6	
"Alejandro Garnacho<span class=""ui-icon country flg-""></span>","Manchester United, ",",  Midfielder  ",12	,-	,-	,-	
"Nathan Ferguson<span class=""ui-icon country flg-""></span>","Crystal Palace, ",",  D(LR)  ",8	,-	,-	,-	
"Nathan Young-Coombes<span class=""ui-icon country flg-gb-eng""></span>","Brentford, ",",  Forward  ",3	,-	,-	,-	
"Tony Springett<span class=""ui-icon country flg-""></span>","Norwich, ",",  Midfielder  ",141	,7	,1	,6	
"Hannibal Mejbri<span class=""ui-icon country flg-""></span>","Manchester United, ",",  Midfielder  ",68	,1	,-	,1	
"Cenk Tosun<span class=""ui-icon country flg-tr""></span>","Everton, ",",  FW  ",6	,1	,-	,1	
"Jaden Philogene-Bidace<span class=""ui-icon country flg-gb-eng""></span>","Aston Villa, ",",  AM(L)  ",4	,-	,-	,-	
"Folarin Balogun<span class=""ui-icon country flg-""></span>","Arsenal, ",",  FW  ",70	,4	,1	,3	
"Morgan Gibbs-White<span class=""ui-icon country flg-gb-eng""></span>","Wolverhampton, ",",  AM(CR),FW  ",7	,2	,-	,2	
"Evan Ferguson<span class=""ui-icon country flg-ie""></span>","Brighton, ",",  Forward  ",22	,2	,-	,2	
"Keinan Davis<span class=""ui-icon country flg-gb-eng""></span>","Aston Villa, ",",  FW  ",11	,1	,-	,1	
