player_name,team_name,position,mins_played,matches,aerials_won,aerials_lost
"Mason Greenwood<span class=""ui-icon country flg-gb-eng""></span>","Manchester United, ",",  AM(R),FW  ",1281	,12	,4	,8	
"Dan Burn<span class=""ui-icon country flg-gb-eng""></span>","Newcastle, ",",  D(CL),M(L)  ",1440	,99	,68	,31	
"Tomas Soucek<span class=""ui-icon country flg-cz""></span>","West Ham, ",",  DMC  ",3062	,275	,134	,141	
"Ethan Pinnock<span class=""ui-icon country flg-jm""></span>","Brentford, ",",  D(C)  ",2698	,215	,143	,72	
"James Tarkowski<span class=""ui-icon country flg-gb-eng""></span>","Burnley, ",",  D(C)  ",3107	,217	,153	,64	
"Raphinha<span class=""ui-icon country flg-br""></span>","Leeds, ",",  AM(LR),FW  ",2923	,54	,23	,31	
"Matt Doherty<span class=""ui-icon country flg-ie""></span>","Tottenham, ",",  D(LR),M(LR)  ",874	,24	,16	,8	
"Richarlison<span class=""ui-icon country flg-br""></span>","Everton, ",",  AM(CLR),FW  ",2528	,223	,66	,157	
"Philippe Coutinho<span class=""ui-icon country flg-br""></span>","Aston Villa, ",",  M(CLR)  ",1339	,22	,5	,17	
"Jorginho<span class=""ui-icon country flg-it""></span>","Chelsea, ",",  DMC  ",2279	,39	,13	,26	
"Rayan Aït-Nouri<span class=""ui-icon country flg-fr""></span>","Wolverhampton, ",",  D(L),M(L)  ",1828	,30	,17	,13	
"Rúben Dias<span class=""ui-icon country flg-pt""></span>","Manchester City, ",",  D(C)  ",2404	,87	,51	,36	
"Thomas Partey<span class=""ui-icon country flg-gh""></span>","Arsenal, ",",  D(R),M(CR)  ",2032	,50	,24	,26	
"Dwight McNeil<span class=""ui-icon country flg-gb-eng""></span>","Burnley, ",",  M(LR)  ",3114	,29	,13	,16	
"Sergio Reguilón<span class=""ui-icon country flg-es""></span>","Tottenham, ",",  D(L),M(L)  ",1923	,53	,31	,22	
"Wilfred Ndidi<span class=""ui-icon country flg-ng""></span>","Leicester, ",",  D(C),DMC  ",1619	,74	,42	,32	
"Jamie Vardy<span class=""ui-icon country flg-gb-eng""></span>","Leicester, ",",  AM(L),FW  ",1806	,74	,24	,50	
"Marc Cucurella<span class=""ui-icon country flg-es""></span>","Brighton, ",",  D(CL),M(L)  ",3092	,76	,40	,36	
"Michail Antonio<span class=""ui-icon country flg-jm""></span>","West Ham, ",",  D(R),M(CLR),FW  ",2981	,193	,79	,114	
