venue,league,team,n,n_team,max_attendance,url,lat,long,capacity,season
Olympic Stadium,Major League Soccer,Montreal Impact,7,6,61004,https://en.wikipedia.org/wiki/Olympic_Stadium_(Montreal),45.558,-73.55199999999999,56040,
ONEOK Field,USL Championship,FC Tulsa,75,41,5203,https://en.wikipedia.org/wiki/Oneok_Field,36.15972,-95.98806,7833,
Orange Country Great Park Soccer Field,USL Championship,Orange County,72,72,5740,https://en.wikipedia.org/wiki/Championship_Soccer_Stadium,33.674459999999996,-117.739335,5000,
Papa Murphy’s Park,USL Championship,Sacramento,68,68,11569,https://en.wikipedia.org/wiki/Heart_Health_Park,,,11569,
Patriots Point Soccer Complex,USL Championship,Charleston,33,33,3738,https://en.wikipedia.org/wiki/Patriots_Point_Soccer_Complex,32.79514300000001,-79.902983,3900,
Phoenix Rising Soccer Complex,USL Championship,Phx Rising,76,75,9236,https://en.wikipedia.org/wiki/Casino_Arizona_Field,33.4375,-111.90556000000001,6000,2018
Phoenix Rising Soccer Complex,USL Championship,Phx Rising,76,75,9236,https://en.wikipedia.org/wiki/Casino_Arizona_Field,33.4375,-111.90556000000001,10000,2021
Pirelli Stadium,EFL Championship,Burton Albion,46,46,6746,https://en.wikipedia.org/wiki/Pirelli_Stadium,52.8219056,-1.6269583,6912,
Portman Road Stadium,EFL Championship,Ipswich Town,92,92,25690,https://en.wikipedia.org/wiki/Portman_Road,52.055061099999996,1.1448306,30311,
Pratt & Whitney Stadium at Rentschler Fi...,Major League Soccer,Toronto FC,15,7,11346,https://en.wikipedia.org/wiki/Pratt_%26_Whitney_Stadium_at_Rentschler_Field,41.75972,-72.61889,38066,
Protective Stadium,USL Championship,Birmingham,17,17,9277,https://en.wikipedia.org/wiki/Protective_Stadium,33.5278,-86.8092,47100,
Providence Park,Major League Soccer,Portland Timbers,157,112,25518,https://en.wikipedia.org/wiki/Providence_Park,45.521390000000004,-122.69167,25218,
Q2 Stadium,Major League Soccer,Austin FC,25,25,20738,https://en.wikipedia.org/wiki/Q2_Stadium,30.388205999999997,-97.719837,20738,
Red Bull Arena,Major League Soccer,NY Red Bulls,157,108,28118,https://en.wikipedia.org/wiki/Red_Bull_Arena_(New_Jersey),40.736670000000004,-74.15028,25000,
Riccardo Silva Stadium,USL Championship,Miami FC,38,38,1307,https://en.wikipedia.org/wiki/Riccardo_Silva_Stadium,25.752499999999998,-80.37777999999999,20000,
Rio Tinto Stadium,Major League Soccer,Real Salt Lake,122,105,21363,https://en.wikipedia.org/wiki/Rio_Tinto_Stadium,40.5829,-111.8934,20213,
Riverside Stadium,EFL Championship,Middlesbrough,158,139,33806,https://en.wikipedia.org/wiki/Riverside_Stadium,54.57833000000001,-1.21694,34742,
Robert F. Kennedy Memorial Stadium,Major League Soccer,D.C. United,35,35,41418,https://en.wikipedia.org/wiki/Robert_F._Kennedy_Memorial_Stadium,38.89,-76.972,43500,
Saputo Stadium,Major League Soccer,Montreal Impact,86,68,20801,https://en.wikipedia.org/wiki/Saputo_Stadium,45.56306,-73.5525,19619,
SeatGeek Stadium,Major League Soccer,Chicago Fire,69,69,21915,https://en.wikipedia.org/wiki/SeatGeek_Stadium,41.764720000000004,-87.80611,20000,
Segra Field,USL Championship,Loudoun Utd,51,51,5015,https://en.wikipedia.org/wiki/Segra_Field,39.070746,-77.545434,5000,
Selhurst Park,Premier League,Crystal Palace,132,132,28467,https://en.wikipedia.org/wiki/Selhurst_Park,51.39833000000001,-0.08556000000000001,25486,
Shawnee Mission District Stadium,USL Championship,Swope Park,8,8,1134,https://en.wikipedia.org/wiki/Shawnee_Mission_District_Stadium,39.021358,-94.67113,6150,
Soldier Field,Major League Soccer,Chicago Fire,34,34,31308,https://en.wikipedia.org/wiki/Soldier_Field,41.862300000000005,-87.6167,66944,
