country,team_sky,name,pos,team
England,Everton,Dominic Calvert-Lewin,f,Everton
England,Man City,Phil Foden,f,Manchester City
England,Aston Villa,Jack Grealish,f,Aston Villa
England,Tottenham,Harry Kane,f,Tottenham
England,Manchester United,Marcus Rashford,f,Manchester United
England,Arsenal,Bukayo Saka,f,Arsenal
England,Man City,Raheem Sterling,f,Manchester City
Scotland,Southampton,Ché Adams,f,Southampton
Scotland,Newcastle United,Ryan Fraser,f,Newcastle United
Spain,Manchester City,Ferran Torres,f,Manchester City
Spain,Wolves,Adama Traore,f,Wolves
France,Chelsea,Olivier Giroud,f,Chelsea
Germany,Chelsea,Timo Werner,f,Chelsea
Portugal,Manchester City,Bernardo Silva,f,Manchester City
Portugal,Liverpool,Diogo Jota,f,Liverpool
