season_id,player_name,team_name,pos_grp,pos_11,minutes_played,euro,ovaep,dvaep,vaep,davies,xga
2020,Yan Eteki,Granada,M,MC,1224,38000000,0.25796251196879894,-1.385161696409341,-1.127199184440542,-1.54,0.52
2020,Sergi Guardiola,Real Valladolid,F,FWC,1887,25000000,-3.1705497091715635,-0.2963197206845507,-3.4668694298561142,-0.44,3.15
2020,Lionel Messi,Barcelona,,,,,,,,13.51,17.18
2020,Marcos Llorente,Atletico,,,,,,,,2.21,5.34
2020,Jose Luis Morales,Levante,,,,,,,,2.37,6.19
2020,Cristian Tello,Real Betis,,,,,,,,-1.1,2.84
2020,Sergio Canales,Real Betis,,,,,,,,1.38,5.04
2020,Karim Benzema,Real Madrid,,,,,,,,7.02,10.84
2020,Sergio Busquets,Barcelona,,,,,,,,1.88,3.78
2020,Jesus Navas,Sevilla,,,,,,,,2.45,5.23
2020,Suso,Sevilla,,,,,,,,-0.08,3.86
